                             component depth     class                                 name     pass    total
    WJetsToLNu_HT2500toInf_madgraphMLM     1 LambdaStr    "ev : -2.5 < ev.jet_eta[0] < 2.5"    74054    74054
    WJetsToLNu_HT2500toInf_madgraphMLM     1 LambdaStr "ev : 0.1 <= ev.jet_chHEF[0] < 0.95"    69532    74054
    WJetsToLNu_HT2500toInf_madgraphMLM     1 LambdaStr             "ev : ev.ht40[0] >= 400"    69532    69532
    WJetsToLNu_HT2500toInf_madgraphMLM     1 LambdaStr         "ev : ev.mht40_pt[0] >= 200"    22873    69532
    WJetsToLNu_HT2500toInf_madgraphMLM     1 LambdaStr       "ev : ev.MhtOverMet[0] < 1.25"    20559    22873
       ZJetsToNuNu_HT100to200_madgraph     1 LambdaStr "ev : ev.cutflowId[0] == 1 # Signal"  1560104  1562860
       ZJetsToNuNu_HT100to200_madgraph     1 LambdaStr     "ev : ev.nIsoTracksVeto[0] <= 0"  1486902  1560104
       ZJetsToNuNu_HT100to200_madgraph     1 LambdaStr          "ev : ev.nJet40Fwd[0] == 0"  1446302  1486902
       ZJetsToNuNu_HT100to200_madgraph     1 LambdaStr     "ev : ev.nJet40failedId[0] == 0"  1446302  1446302
       ZJetsToNuNu_HT100to200_madgraph     1 LambdaStr             "ev : ev.nJet40[0] >= 2"  1446302  1446302
       ZJetsToNuNu_HT100to200_madgraph     1 LambdaStr    "ev : -2.5 < ev.jet_eta[0] < 2.5"  1318364  1446302
       ZJetsToNuNu_HT100to200_madgraph     1 LambdaStr "ev : 0.1 <= ev.jet_chHEF[0] < 0.95"  1277959  1318364
       ZJetsToNuNu_HT100to200_madgraph     1 LambdaStr             "ev : ev.ht40[0] >= 400"      239  1277959
       ZJetsToNuNu_HT100to200_madgraph     1 LambdaStr         "ev : ev.mht40_pt[0] >= 200"        6      239
       ZJetsToNuNu_HT100to200_madgraph     1 LambdaStr       "ev : ev.MhtOverMet[0] < 1.25"        5        6
       ZJetsToNuNu_HT200to400_madgraph     1 LambdaStr "ev : ev.cutflowId[0] == 1 # Signal"  4046912  4061243
       ZJetsToNuNu_HT200to400_madgraph     1 LambdaStr     "ev : ev.nIsoTracksVeto[0] <= 0"  3847962  4046912
       ZJetsToNuNu_HT200to400_madgraph     1 LambdaStr          "ev : ev.nJet40Fwd[0] == 0"  3550829  3847962
       ZJetsToNuNu_HT200to400_madgraph     1 LambdaStr     "ev : ev.nJet40failedId[0] == 0"  3550829  3550829
       ZJetsToNuNu_HT200to400_madgraph     1 LambdaStr             "ev : ev.nJet40[0] >= 2"  3550829  3550829
       ZJetsToNuNu_HT200to400_madgraph     1 LambdaStr    "ev : -2.5 < ev.jet_eta[0] < 2.5"  3300384  3550829
       ZJetsToNuNu_HT200to400_madgraph     1 LambdaStr "ev : 0.1 <= ev.jet_chHEF[0] < 0.95"  3201765  3300384
       ZJetsToNuNu_HT200to400_madgraph     1 LambdaStr             "ev : ev.ht40[0] >= 400"    32272  3201765
       ZJetsToNuNu_HT200to400_madgraph     1 LambdaStr         "ev : ev.mht40_pt[0] >= 200"     6419    32272
       ZJetsToNuNu_HT200to400_madgraph     1 LambdaStr       "ev : ev.MhtOverMet[0] < 1.25"     6097     6419
       ZJetsToNuNu_HT400to600_madgraph     1 LambdaStr "ev : ev.cutflowId[0] == 1 # Signal"   976008   981777
       ZJetsToNuNu_HT400to600_madgraph     1 LambdaStr     "ev : ev.nIsoTracksVeto[0] <= 0"   929686   976008
       ZJetsToNuNu_HT400to600_madgraph     1 LambdaStr          "ev : ev.nJet40Fwd[0] == 0"   845306   929686
       ZJetsToNuNu_HT400to600_madgraph     1 LambdaStr     "ev : ev.nJet40failedId[0] == 0"   845306   845306
       ZJetsToNuNu_HT400to600_madgraph     1 LambdaStr             "ev : ev.nJet40[0] >= 2"   845306   845306
       ZJetsToNuNu_HT400to600_madgraph     1 LambdaStr    "ev : -2.5 < ev.jet_eta[0] < 2.5"   808885   845306
       ZJetsToNuNu_HT400to600_madgraph     1 LambdaStr "ev : 0.1 <= ev.jet_chHEF[0] < 0.95"   784737   808885
       ZJetsToNuNu_HT400to600_madgraph     1 LambdaStr             "ev : ev.ht40[0] >= 400"   541103   784737
       ZJetsToNuNu_HT400to600_madgraph     1 LambdaStr         "ev : ev.mht40_pt[0] >= 200"   120464   541103
       ZJetsToNuNu_HT400to600_madgraph     1 LambdaStr       "ev : ev.MhtOverMet[0] < 1.25"   114816   120464
       ZJetsToNuNu_HT600to800_madgraph     1 LambdaStr "ev : ev.cutflowId[0] == 1 # Signal"  5590765  5633346
       ZJetsToNuNu_HT600to800_madgraph     1 LambdaStr     "ev : ev.nIsoTracksVeto[0] <= 0"  5337870  5590765
       ZJetsToNuNu_HT600to800_madgraph     1 LambdaStr          "ev : ev.nJet40Fwd[0] == 0"  4932895  5337870
       ZJetsToNuNu_HT600to800_madgraph     1 LambdaStr     "ev : ev.nJet40failedId[0] == 0"  4932895  4932895
       ZJetsToNuNu_HT600to800_madgraph     1 LambdaStr             "ev : ev.nJet40[0] >= 2"  4932895  4932895
       ZJetsToNuNu_HT600to800_madgraph     1 LambdaStr    "ev : -2.5 < ev.jet_eta[0] < 2.5"  4816255  4932895
       ZJetsToNuNu_HT600to800_madgraph     1 LambdaStr "ev : 0.1 <= ev.jet_chHEF[0] < 0.95"  4665326  4816255
       ZJetsToNuNu_HT600to800_madgraph     1 LambdaStr             "ev : ev.ht40[0] >= 400"  4660646  4665326
       ZJetsToNuNu_HT600to800_madgraph     1 LambdaStr         "ev : ev.mht40_pt[0] >= 200"  1262537  4660646
       ZJetsToNuNu_HT600to800_madgraph     1 LambdaStr       "ev : ev.MhtOverMet[0] < 1.25"  1196909  1262537
      ZJetsToNuNu_HT800to1200_madgraph     1 LambdaStr "ev : ev.cutflowId[0] == 1 # Signal"  1915381  1932525
      ZJetsToNuNu_HT800to1200_madgraph     1 LambdaStr     "ev : ev.nIsoTracksVeto[0] <= 0"  1832322  1915381
      ZJetsToNuNu_HT800to1200_madgraph     1 LambdaStr          "ev : ev.nJet40Fwd[0] == 0"  1713483  1832322
      ZJetsToNuNu_HT800to1200_madgraph     1 LambdaStr     "ev : ev.nJet40failedId[0] == 0"  1713483  1713483
      ZJetsToNuNu_HT800to1200_madgraph     1 LambdaStr             "ev : ev.nJet40[0] >= 2"  1713483  1713483
      ZJetsToNuNu_HT800to1200_madgraph     1 LambdaStr    "ev : -2.5 < ev.jet_eta[0] < 2.5"  1696529  1713483
      ZJetsToNuNu_HT800to1200_madgraph     1 LambdaStr "ev : 0.1 <= ev.jet_chHEF[0] < 0.95"  1640047  1696529
      ZJetsToNuNu_HT800to1200_madgraph     1 LambdaStr             "ev : ev.ht40[0] >= 400"  1639948  1640047
      ZJetsToNuNu_HT800to1200_madgraph     1 LambdaStr         "ev : ev.mht40_pt[0] >= 200"   525855  1639948
      ZJetsToNuNu_HT800to1200_madgraph     1 LambdaStr       "ev : ev.MhtOverMet[0] < 1.25"   498244   525855
     ZJetsToNuNu_HT1200to2500_madgraph     1 LambdaStr "ev : ev.cutflowId[0] == 1 # Signal"   365040   368751
     ZJetsToNuNu_HT1200to2500_madgraph     1 LambdaStr     "ev : ev.nIsoTracksVeto[0] <= 0"   349895   365040
     ZJetsToNuNu_HT1200to2500_madgraph     1 LambdaStr          "ev : ev.nJet40Fwd[0] == 0"   330291   349895
     ZJetsToNuNu_HT1200to2500_madgraph     1 LambdaStr     "ev : ev.nJet40failedId[0] == 0"   330291   330291
     ZJetsToNuNu_HT1200to2500_madgraph     1 LambdaStr             "ev : ev.nJet40[0] >= 2"   330291   330291
     ZJetsToNuNu_HT1200to2500_madgraph     1 LambdaStr    "ev : -2.5 < ev.jet_eta[0] < 2.5"   329868   330291
     ZJetsToNuNu_HT1200to2500_madgraph     1 LambdaStr "ev : 0.1 <= ev.jet_chHEF[0] < 0.95"   317151   329868
     ZJetsToNuNu_HT1200to2500_madgraph     1 LambdaStr             "ev : ev.ht40[0] >= 400"   317149   317151
     ZJetsToNuNu_HT1200to2500_madgraph     1 LambdaStr         "ev : ev.mht40_pt[0] >= 200"   122998   317149
     ZJetsToNuNu_HT1200to2500_madgraph     1 LambdaStr       "ev : ev.MhtOverMet[0] < 1.25"   116203   122998
      ZJetsToNuNu_HT2500toInf_madgraph     1 LambdaStr "ev : ev.cutflowId[0] == 1 # Signal"   401046   405651
      ZJetsToNuNu_HT2500toInf_madgraph     1 LambdaStr     "ev : ev.nIsoTracksVeto[0] <= 0"   383957   401046
      ZJetsToNuNu_HT2500toInf_madgraph     1 LambdaStr          "ev : ev.nJet40Fwd[0] == 0"   367447   383957
      ZJetsToNuNu_HT2500toInf_madgraph     1 LambdaStr     "ev : ev.nJet40failedId[0] == 0"   367447   367447
      ZJetsToNuNu_HT2500toInf_madgraph     1 LambdaStr             "ev : ev.nJet40[0] >= 2"   367447   367447
      ZJetsToNuNu_HT2500toInf_madgraph     1 LambdaStr    "ev : -2.5 < ev.jet_eta[0] < 2.5"   367447   367447
      ZJetsToNuNu_HT2500toInf_madgraph     1 LambdaStr "ev : 0.1 <= ev.jet_chHEF[0] < 0.95"   345393   367447
      ZJetsToNuNu_HT2500toInf_madgraph     1 LambdaStr             "ev : ev.ht40[0] >= 400"   345393   345393
      ZJetsToNuNu_HT2500toInf_madgraph     1 LambdaStr         "ev : ev.mht40_pt[0] >= 200"   170967   345393
      ZJetsToNuNu_HT2500toInf_madgraph     1 LambdaStr       "ev : ev.MhtOverMet[0] < 1.25"   161478   170967
